image_name,targetid,objective,parametrizer,optimizer,transforms,neuron,recep_field
66_features_3:66_1652933808.5203927.jpg,66,features_3:66,none,none,none,True,True
67_features_3:67_1652933813.3668013.jpg,67,features_3:67,none,none,none,True,True
70_features_3:70_1652933818.188323.jpg,70,features_3:70,none,none,none,True,True
75_features_3:75_1652933823.008484.jpg,75,features_3:75,none,none,none,True,True
78_features_3:78_1652933828.9388196.jpg,78,features_3:78,none,none,none,True,True
157_features_3:157_1652933834.906715.jpg,157,features_3:157,none,none,none,True,True
176_features_3:176_1652933840.8752222.jpg,176,features_3:176,none,none,none,True,True
188_features_3:188_1652933846.8219411.jpg,188,features_3:188,none,none,none,True,True
189_features_3:189_1652933852.7715669.jpg,189,features_3:189,none,none,none,True,True
198_features_3:198_1652933858.64372.jpg,198,features_3:198,none,none,none,True,True
210_features_3:210_1652933864.6419828.jpg,210,features_3:210,none,none,none,True,True
214_features_3:214_1652933870.6347394.jpg,214,features_3:214,none,none,none,True,True
218_features_3:218_1652933876.6689117.jpg,218,features_3:218,none,none,none,True,True
236_features_3:236_1652933882.5407202.jpg,236,features_3:236,none,none,none,True,True
240_features_3:240_1652933888.4498756.jpg,240,features_3:240,none,none,none,True,True
244_features_3:244_1652933894.3936791.jpg,244,features_3:244,none,none,none,True,True
253_features_3:253_1652933900.4124103.jpg,253,features_3:253,none,none,none,True,True
254_features_3:254_1652933906.3972604.jpg,254,features_3:254,none,none,none,True,True
312_features_6:312_1652933912.4025679.jpg,312,features_6:312,none,none,none,True,True
